gene_a	gene_b	weight	abs_weight	edge_type
C16ORF89	NAPSA	0.810988	0.810988	positive
C16ORF89	SFTPB	0.75927	0.75927	positive
C16ORF89	NKX2-1	0.71489	0.71489	positive
HLA-DPB1	CD74	0.950914	0.950914	positive
HLA-DPB1	CIITA	0.856646	0.856646	positive
HLA-DPB1	HLA-DPA1	0.969375	0.969375	positive
HLA-DPB1	HLA-DOA	0.908929	0.908929	positive
HLA-DPB1	HLA-DRA	0.955331	0.955331	positive
HLA-DPB1	SLC15A3	0.750552	0.750552	positive
NKX2-1	NAPSA	0.774115	0.774115	positive
GPNMB	LCP1	0.735673	0.735673	positive
GPNMB	SIRPA	0.703422	0.703422	positive
SIRPA	ZEB2	0.8094	0.8094	positive
SIRPA	LCP1	0.79149	0.79149	positive
SIRPA	SH2B3	0.814739	0.814739	positive
SIRPA	SLC15A3	0.773498	0.773498	positive
SIRPA	WIPF1	0.75457	0.75457	positive
SLC15A3	CD74	0.756303	0.756303	positive
SLC15A3	CIITA	0.763674	0.763674	positive
SLC15A3	HLA-DPA1	0.73987	0.73987	positive
SLC15A3	HLA-DRA	0.704583	0.704583	positive
SLC15A3	LCP1	0.716478	0.716478	positive
SLC15A3	HLA-DOA	0.710269	0.710269	positive
SPARC	COL1A2	0.867338	0.867338	positive
SPARC	COL3A1	0.877202	0.877202	positive
SPARC	COL1A1	0.790059	0.790059	positive
LCP1	ZEB2	0.72987	0.72987	positive
LCP1	HLA-DPA1	0.714884	0.714884	positive
LCP1	HLA-DRA	0.700635	0.700635	positive
LCP1	DOCK10	0.712836	0.712836	positive
LCP1	HLA-DOA	0.709756	0.709756	positive
LCP1	SH2B3	0.740768	0.740768	positive
LCP1	WIPF1	0.747709	0.747709	positive
SH2B3	ZEB2	0.850974	0.850974	positive
SH2B3	DOCK10	0.76628	0.76628	positive
SH2B3	WIPF1	0.749423	0.749423	positive
TPR	CEP350	0.739043	0.739043	positive
CD74	CIITA	0.868688	0.868688	positive
CD74	HLA-DOA	0.872649	0.872649	positive
CD74	HLA-DPA1	0.937135	0.937135	positive
CD74	HLA-DRA	0.925008	0.925008	positive
HLA-DRA	CIITA	0.800799	0.800799	positive
HLA-DRA	HLA-DPA1	0.960529	0.960529	positive
HLA-DRA	CTSS	0.713503	0.713503	positive
HLA-DRA	HLA-DOA	0.871469	0.871469	positive
SFTPB	NAPSA	0.760378	0.760378	positive
RAB25	AP1M2	0.732534	0.732534	positive
CTSS	HLA-DPA1	0.701485	0.701485	positive
DOCK10	ZEB2	0.743883	0.743883	positive
DOCK10	WIPF1	0.7112	0.7112	positive
ESRP1	GRHL2	0.762749	0.762749	positive
COL1A1	COL1A2	0.924761	0.924761	positive
COL1A1	COL3A1	0.913083	0.913083	positive
HLA-DOA	CIITA	0.846814	0.846814	positive
HLA-DOA	HLA-DPA1	0.904034	0.904034	positive
COL1A2	COL3A1	0.95702	0.95702	positive
COL1A2	FN1	0.747647	0.747647	positive
COL3A1	FN1	0.725213	0.725213	positive
CIITA	HLA-DPA1	0.8396	0.8396	positive
ZEB2	WIPF1	0.790431	0.790431	positive
